case_id,ED,ET,NCR,TC,WT,model
UCSF-PDGM-0004,0.9323717512586747,0.956865723598848,0.9718095992605796,0.9799341120095837,0.9742846534356997,Ensemble
UCSF-PDGM-0007,0.9555418102258437,0.917243947858473,0.909018302828619,0.9643399638336347,0.963595972625318,Ensemble
UCSF-PDGM-0014,0.7672934556726404,0.8584799376029119,0.9053732318752626,0.9310564245231365,0.8185555119269657,Ensemble
UCSF-PDGM-0016,0.4111640571817563,0.8244354883233037,0.8314747401538487,0.9332711483171672,0.9247681500817045,Ensemble
UCSF-PDGM-0036,0.4437817222493046,0.731435349940688,0.0,0.7494842997937199,0.5980871120897269,Ensemble
UCSF-PDGM-0039,0.9658208397358694,0.9442365611024915,0.8280701754385965,0.955495792487204,0.9690584299492062,Ensemble
UCSF-PDGM-0066,0.5790742526518804,0.8479495268138801,0.7228915662650602,0.8886350656767561,0.7248686218003051,Ensemble
UCSF-PDGM-0074,0.8280795344325897,0.9007161041006575,0.7719087635054022,0.9253846541049346,0.9269490917025035,Ensemble
UCSF-PDGM-0079,0.954327866279526,0.9790268609775274,0.8795811518324608,0.9818930778185726,0.9768980662825851,Ensemble
UCSF-PDGM-0084,0.9500541687855137,0.934251247394682,0.8956344859959318,0.9831713462922966,0.971995315256549,Ensemble
UCSF-PDGM-0085,0.9642810564919584,0.9140171412773016,0.0,0.9372294372294372,0.9660929335114414,Ensemble
UCSF-PDGM-0088,0.9339563006733544,0.6623376623376623,0.0,0.6895674300254453,0.9415942535847839,Ensemble
UCSF-PDGM-0089,0.9471082099022364,0.8811236025624921,0.9364520359266622,0.9573209236474501,0.9801520303126969,Ensemble
UCSF-PDGM-0091,0.7054516671613733,0.9044674601947751,0.8653184165232358,0.9653133174115774,0.9107716751525656,Ensemble
UCSF-PDGM-0096,0.9319854316860827,0.8427705766684056,0.9375244481698799,0.9170364833932826,0.9746967183790288,Ensemble
UCSF-PDGM-0107,0.9153741059230089,0.8965850827125859,0.9284890426758939,0.9302909573825908,0.9366336036660737,Ensemble
UCSF-PDGM-0116,0.9699345039018952,0.9613691931540342,0.988997674464052,0.9857103152164537,0.9855043118254299,Ensemble
UCSF-PDGM-0121,0.9583432255236773,0.9715016763719782,0.9692788336370737,0.986490939044481,0.9762064225034368,Ensemble
UCSF-PDGM-0156,0.9563224616923093,0.8828691032039929,0.2836979534227241,0.8701877308556415,0.9771968166261185,Ensemble
UCSF-PDGM-0159,0.9171473090823061,0.9412098030882561,0.9188824594412297,0.9840130861504908,0.9437210931609165,Ensemble
UCSF-PDGM-0176,0.8154105669016206,0.9004854368932039,0.8991090146750524,0.9392941176470588,0.8979839834256345,Ensemble
UCSF-PDGM-0197,0.9028626457404244,0.9221677253356919,0.9773838630806846,0.9731968631493686,0.965421119001792,Ensemble
UCSF-PDGM-0200,0.6924839258000148,0.9044647143542967,0.9296731123388582,0.9820124043105651,0.9498520373321193,Ensemble
UCSF-PDGM-0207,0.9275504734679293,0.9602652686957005,0.9795597484276729,0.9856661135791897,0.9541940194995578,Ensemble
UCSF-PDGM-0227,0.67822802621672,0.907086888723159,0.8878382867803021,0.9622132632850581,0.8379695938399274,Ensemble
UCSF-PDGM-0231,0.9614697072180887,1.0,1.0,1.0,0.9614697072180887,Ensemble
UCSF-PDGM-0235,0.9737370817373708,1.0,1.0,1.0,0.9737370817373708,Ensemble
UCSF-PDGM-0240,0.9660292100379246,1.0,1.0,1.0,0.9660292100379246,Ensemble
UCSF-PDGM-0244,0.9823180553521745,0.36893203883495146,1.0,0.36893203883495146,0.9835388690965561,Ensemble
UCSF-PDGM-0261,0.9604459265389578,1.0,1.0,1.0,0.9604459265389578,Ensemble
UCSF-PDGM-0288,0.36911222053397,0.7990935655077822,0.8846673616741959,0.9580921600313402,0.9026905494760771,Ensemble
UCSF-PDGM-0333,0.754552533092206,0.9541284403669725,0.9244444444444444,0.9592370979805535,0.7708946265916633,Ensemble
UCSF-PDGM-0335,0.9537917311518903,0.9744484606755578,0.9902791625124626,0.9920857481149125,0.9761005638611556,Ensemble
UCSF-PDGM-0356,0.9653700071990666,0.9523782954386943,0.9655088062622309,0.9779489242676782,0.9777948614581233,Ensemble
UCSF-PDGM-0358,0.9536294312823796,0.9509803921568627,0.9901235813366961,0.9914221719864919,0.9772182823363365,Ensemble
UCSF-PDGM-0360,0.9039827983278578,0.9612764531799654,0.9925247038632684,0.9895546229863273,0.9678675613657916,Ensemble
UCSF-PDGM-0366,0.9383815429649887,0.9378498172053448,0.9930703624733476,0.9842966217143823,0.9677517059525719,Ensemble
UCSF-PDGM-0377,0.9337559795935081,0.9510523835702506,0.9841523049897926,0.9839800365867197,0.9668000771530524,Ensemble
UCSF-PDGM-0379,0.9250609239522649,0.9781231633252792,0.9783948081820423,0.9904904320194398,0.9495845675890471,Ensemble
UCSF-PDGM-0414,0.9333037767740863,0.9671511310239318,0.9876488095238095,0.9838782955875267,0.9640136648572155,Ensemble
UCSF-PDGM-0478,0.9662178038861274,1.0,1.0,1.0,0.9662178038861274,Ensemble
UCSF-PDGM-0485,0.9475764763121085,0.0,0.0,0.0,0.9618009208572671,Ensemble
UCSF-PDGM-0497,0.9682538938107053,0.9463920338289455,0.9191583610188261,0.9516946191474493,0.9757876325073374,Ensemble
UCSF-PDGM-0503,0.9540584569023512,0.9779309115751329,0.9368790181180596,0.9857909353177492,0.9637885576267123,Ensemble
UCSF-PDGM-0509,0.9033249700504057,0.9251854240567559,0.9512064343163539,0.9537622412297012,0.9356853002070393,Ensemble
UCSF-PDGM-0525,0.9247267327214743,0.7802294423044717,0.7744082840236687,0.7899429386590585,0.8914843243406271,Ensemble
UCSF-PDGM-0529,0.7394368856276196,0.6580031829344126,0.6547008547008547,0.7311114377918251,0.9884839587344616,Ensemble
UCSF-PDGM-0532,0.9411041784836452,0.946609651802077,0.9770177540572922,0.9869860647241737,0.9603538992593585,Ensemble
UCSF-PDGM-0536,0.912747216220708,0.9553070493492615,0.9713813410476289,0.9750278706800446,0.9478283872358353,Ensemble
UCSF-PDGM-0540,0.9634578997161779,1.0,1.0,1.0,0.9634578997161779,Ensemble
UCSF-PDGM-0004,0.924718107450807,0.9567257394667597,0.9720449911201736,0.9798057587815,0.9710358133365489,Fold_0
UCSF-PDGM-0007,0.9542156017807877,0.9148019801980198,0.9066809479180613,0.9629187899815678,0.9626165300631921,Fold_0
UCSF-PDGM-0014,0.7630700605759181,0.8596219265383456,0.9058505178688065,0.9307307012374779,0.8158269355528021,Fold_0
UCSF-PDGM-0016,0.4262081411670343,0.8233088345582721,0.8307263286108084,0.9310928147254359,0.9263871841537225,Fold_0
UCSF-PDGM-0036,0.424919941775837,0.7301702281781963,0.5875486381322957,0.7602591792656588,0.583447284863374,Fold_0
UCSF-PDGM-0039,0.969024571071021,0.9360995850622407,0.8027444253859348,0.9494224711235562,0.9721790973706792,Fold_0
UCSF-PDGM-0066,0.5633734939759036,0.7330631152287204,0.7701149425287356,0.778537611783272,0.6904643860518922,Fold_0
UCSF-PDGM-0074,0.8063021550037243,0.881269136421422,0.7188309285978542,0.904905721981879,0.926914698218786,Fold_0
UCSF-PDGM-0079,0.946670109440483,0.9773408682063489,0.8888888888888888,0.9799850422023576,0.9729298956978553,Fold_0
UCSF-PDGM-0084,0.9356485750916574,0.9240246406570842,0.8922506946588453,0.9779711721512102,0.9641165947595496,Fold_0
UCSF-PDGM-0085,0.9596506586845182,0.8977058029689609,0.0,0.9207188160676533,0.9619055941360007,Fold_0
UCSF-PDGM-0088,0.9244521966641229,0.6692708333333334,0.0,0.6964285714285714,0.9320631871064148,Fold_0
UCSF-PDGM-0089,0.935522958201338,0.8793797247528591,0.9084303605009403,0.9434827124517603,0.97991216428325,Fold_0
UCSF-PDGM-0091,0.6890977063756694,0.9085657824732082,0.8672334859385219,0.9665238954012624,0.9064071488006946,Fold_0
UCSF-PDGM-0096,0.9318313799196988,0.8386128574325694,0.9366404988586382,0.9157358738501971,0.9748837512582577,Fold_0
UCSF-PDGM-0107,0.9029667137573613,0.8871751465563184,0.9327886392374283,0.921194879089616,0.9258642628643461,Fold_0
UCSF-PDGM-0116,0.9699327950716385,0.962026744907747,0.9901295858335125,0.9854886324425871,0.9859001697201792,Fold_0
UCSF-PDGM-0121,0.9620052088143483,0.9684117125110914,0.9610655737704918,0.9865559509687624,0.9785410773255057,Fold_0
UCSF-PDGM-0156,0.9524385954021561,0.8789252055343895,0.2909090909090909,0.8581373111493593,0.9750060377392882,Fold_0
UCSF-PDGM-0159,0.9190180897515869,0.9439125779429364,0.9210479415433969,0.985266974651333,0.944697779361121,Fold_0
UCSF-PDGM-0176,0.8146836354904551,0.9045755568934377,0.8996448770222281,0.9425670733491325,0.8964696312902362,Fold_0
UCSF-PDGM-0197,0.9049363890848676,0.923634898247028,0.9777822970156084,0.9732779807984389,0.9660738366028039,Fold_0
UCSF-PDGM-0200,0.6004361210877373,0.8705476227836184,0.9049604118288895,0.9790081237074384,0.9288289998102107,Fold_0
UCSF-PDGM-0207,0.9310668764139879,0.9635484470894551,0.9834537990782481,0.9860607422146624,0.9562141519372586,Fold_0
UCSF-PDGM-0227,0.6867448064410995,0.8961818836559705,0.8775145631067961,0.9561582208641032,0.842589999283523,Fold_0
UCSF-PDGM-0231,0.963859525344557,1.0,1.0,1.0,0.963859525344557,Fold_0
UCSF-PDGM-0235,0.9720513372051337,1.0,1.0,1.0,0.9720513372051337,Fold_0
UCSF-PDGM-0240,0.9585568015602145,1.0,1.0,1.0,0.9585568015602145,Fold_0
UCSF-PDGM-0244,0.983132530120482,0.746268656716418,1.0,0.746268656716418,0.9837928397130058,Fold_0
UCSF-PDGM-0261,0.9518006590957585,1.0,1.0,1.0,0.9518006590957585,Fold_0
UCSF-PDGM-0288,0.36541143654114366,0.791624370534026,0.8838983050847458,0.9551394367713707,0.9041000637401388,Fold_0
UCSF-PDGM-0333,0.7443069306930693,0.9561933534743202,0.9391304347826087,0.9605501266739052,0.7621342353404537,Fold_0
